epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1186.59,0.98332,0.56343,0.04981,0.45289,2.12885,0.98684,0.99975,0.99447,0.62522,0.94443,0.94667,0.95328,0.84922,1.46744,0.93204,0.04982,0.57739,2.76837,0.0009704,0.0009704,0.0009704
28,1229.37,0.94727,0.54307,0.04743,0.43727,2.06634,0.97399,0.99857,0.99434,0.66761,0.96099,0.98529,0.98872,0.87909,1.34507,0.79912,0.05042,0.51592,2.57769,0.0009308,0.0009308,0.0009308
29,1271.89,0.93027,0.55886,0.07511,0.42933,2.07405,0.99438,0.98667,0.99462,0.61808,0.98095,0.97333,0.99247,0.88798,1.38747,0.75546,0.05385,0.5401,2.70852,0.0008912,0.0008912,0.0008912
30,1314.52,0.92924,0.53422,0.07229,0.44367,2.04879,0.98191,0.98667,0.99084,0.61929,0.95692,0.96,0.97069,0.85083,1.35121,0.83177,0.05254,0.55139,2.70493,0.0008516,0.0008516,0.0008516
31,1357.24,0.91746,0.52572,0.0481,0.43923,2.03445,0.9848,1,0.99487,0.65177,0.9848,1,0.99487,0.86868,1.26773,0.74456,0.04693,0.52481,2.54482,0.000812,0.000812,0.000812
32,1401.36,0.92178,0.52535,0.06039,0.43666,2.04159,0.96153,0.99988,0.99422,0.64582,0.96153,0.99988,0.99422,0.88072,1.37972,0.73849,0.04855,0.54308,2.723,0.0007724,0.0007724,0.0007724
33,1444.11,0.87104,0.50035,0.068,0.41005,1.98203,0.99319,0.98667,0.99009,0.67474,0.96718,0.96,0.96194,0.87394,1.26877,0.73319,0.06288,0.61084,2.55057,0.0007328,0.0007328,0.0007328
34,1487.18,0.91782,0.47713,0.05569,0.42166,2.03498,0.99531,0.98667,0.99306,0.61772,0.99531,0.98667,0.99306,0.87989,1.44816,0.69873,0.05319,0.60078,2.81637,0.0006932,0.0006932,0.0006932
35,1530.5,0.86056,0.48469,0.07816,0.42158,1.96801,0.99852,0.98667,0.99393,0.65128,0.98503,0.97333,0.98725,0.90422,1.32326,0.69042,0.05235,0.59532,2.63985,0.0006536,0.0006536,0.0006536
36,1574.25,0.86134,0.44788,0.05042,0.41007,1.96188,0.98297,1,0.99434,0.64974,0.96987,0.98667,0.98621,0.89707,1.31232,0.69346,0.06505,0.60621,2.62344,0.000614,0.000614,0.000614
